time,latitude,longitude,ph
2022-10-01,22.5,91.0,7.9144015
2022-10-01,21.5,91.0,8.363974
2022-10-01,21.5,89.25,8.24993
2022-10-01,21.0,88.75,8.215674
2022-10-01,20.5,88.25,8.096977
2022-10-01,21.0,88.0,8.266952
2022-10-01,20.5,91.0,8.084896
2022-10-01,21.0,89.25,8.15376
2022-10-01,20.5,89.5,8.064617
2022-10-01,20.0,87.25,8.095687
2022-10-01,20.5,89.0,8.07011
2022-10-01,20.5,90.75,8.084382
2022-10-01,21.5,90.0,8.271542
2022-10-01,20.0,89.75,8.059549
2022-10-01,21.0,89.0,8.1828985
2022-10-01,20.0,89.0,8.060798
2022-10-01,21.5,88.75,8.245472
2022-10-01,21.5,88.5,8.259649
2022-10-01,21.5,89.75,8.27258
2022-10-01,21.0,88.5,8.2371
2022-10-01,20.25,90.0,8.061021
2022-10-01,21.0,87.75,8.23944
2022-10-01,20.5,89.75,8.065742
2022-10-01,20.0,89.25,8.061715
2022-10-01,20.25,90.25,8.067022
2022-10-01,20.0,88.5,8.0627775
2022-10-01,20.5,90.5,8.079036
2022-10-01,22.0,90.75,8.410328
2022-10-01,21.5,88.25,8.306034
2022-10-01,20.25,89.5,8.060084
2022-10-01,21.5,90.25,8.2398205
2022-10-01,21.5,89.0,8.236677
2022-10-01,20.25,89.75,8.057686
2022-10-01,20.5,90.0,8.071553
2022-10-01,21.75,90.5,8.3714485
2022-10-01,21.75,89.75,8.314816
2022-10-01,20.0,87.75,8.069634
2022-10-01,21.5,90.5,8.347416
2022-10-01,20.0,89.5,8.062081
2022-10-01,20.5,88.5,8.084967
2022-10-01,20.75,90.25,8.116881
2022-10-01,21.0,89.75,8.1428795
2022-10-01,21.5,87.75,8.357279
2022-10-01,21.25,89.0,8.233272
2022-10-01,21.75,91.0,8.430309
2022-10-01,21.75,90.0,8.301684
2022-10-01,20.75,89.0,8.09912
2022-10-01,20.25,87.25,8.151378
2022-10-01,21.0,90.5,8.188975
2022-10-01,21.25,89.25,8.227739
2022-10-01,21.75,88.0,8.312604
2022-10-01,20.5,87.5,8.17701
2022-10-01,20.0,90.25,8.060419
2022-10-01,20.25,90.75,8.06916
2022-10-01,20.75,88.75,8.124182
2022-10-01,20.25,87.0,8.173773
2022-10-01,20.25,88.75,8.065306
2022-10-01,21.75,89.5,8.294018
2022-10-01,21.25,89.75,8.18753
2022-10-01,20.75,88.5,8.150343
2022-10-01,21.0,90.25,8.17294
2022-10-01,21.25,90.0,8.124716
2022-10-01,20.0,91.0,8.061373
2022-10-01,20.75,91.0,8.146839
2022-10-01,21.25,90.25,8.169051
2022-10-01,20.75,90.75,8.145278
2022-10-01,20.75,89.25,8.089713
2022-10-01,20.5,87.25,8.188956
2022-10-01,21.25,88.75,8.242078
2022-10-01,21.25,87.25,8.226199
2022-10-01,21.25,87.5,8.257852
2022-10-01,20.75,90.0,8.101608
2022-10-01,20.25,88.25,8.069659
2022-10-01,20.25,88.0,8.075535
2022-10-01,21.25,87.0,8.202129
2022-10-01,21.25,87.75,8.31851
2022-10-01,22.5,90.75,7.8042126
2022-10-01,21.25,88.0,8.333657
2022-10-01,22.0,90.5,8.37133
2022-10-01,20.25,87.75,8.092322
2022-10-01,20.5,87.0,8.180103
2022-10-01,20.75,89.75,8.08955
2022-10-01,21.0,91.0,8.219838
2022-10-01,21.25,88.25,8.313155
2022-10-01,20.75,89.5,8.08866
2022-10-01,20.75,90.5,8.133839
2022-10-01,20.0,88.25,8.06436
2022-10-01,21.25,88.5,8.275263
2022-10-01,20.25,87.5,8.120387
2022-10-01,22.0,91.0,8.470202
2022-10-01,20.25,88.5,8.067497
2022-10-01,21.0,90.75,8.203328
2022-10-01,21.25,90.5,8.280246
2022-10-01,20.5,87.75,8.1550865
2022-10-01,21.25,89.5,8.204913
2022-10-01,21.75,87.75,8.330599
2022-10-01,21.5,87.25,8.248511
2022-10-01,20.0,90.5,8.064321
2022-10-01,21.5,87.5,8.299406
2022-10-01,21.25,91.0,8.2917185
2022-10-01,20.25,90.5,8.069658
2022-10-01,20.25,89.0,8.063792
2022-10-01,21.25,90.75,8.280547
2022-10-01,20.5,88.0,8.122102
2022-10-01,20.75,88.0,8.201441
